workflow_id	workflow_name	read_layout	workflow_total_duration	download_duration	processing_duration	instance_type	status	run_id	cpu	mem	cache	blkio
5ac4098	tophat2-cufflinks	PAIRED	4587.0	5.587879775	4581.412120225	r5.2xlarge	success	ERR204893	797.894931835206	19262025728	11250737152	37249024
f8ee79c	tophat2-cufflinks	SINGLE	1516.0	0.634627105	1515.365372895	r5.2xlarge	success	SRR4428678	714.342477763659	4868661248	880504832	180224
0ac4c0e	tophat2-cufflinks	SINGLE	3020.0	1.954744256	3018.045255744	r5.2xlarge	success	SRR5185518	667.571790075188	12415307776	4635021312	12288
6c7c2a7	tophat2-cufflinks	SINGLE	990.0	2.403522777	987.596477223	r5.2xlarge	success	SRR5168756	594.718487930607	5158060032	816410624	6365184
43a6a46	star-cufflinks	PAIRED	331.0	1.002239713	329.997760287	r5.2xlarge	success	SRR4250750	646.315161105528	43893149696	14976557056	14976516096
d1a9bd8	star-cufflinks	PAIRED	384.0	1.305679766	382.694320234	r5.2xlarge	success	SRR5168756	671.457472321204	39648075776	10706112512	18887204864
c1a3b9d	star-cufflinks	SINGLE	1156.0	6.663452877	1149.336547123	r5.2xlarge	success	ERR204893	519.478721	44669480960	12005961728	16771825664
4b2f676	hisat2-cufflinks	PAIRED	875.0	6.152814986	868.847185014	r5.2xlarge	success	ERR204893	798.251766774595	11769495552	6931845120	0
93fae27	salmon	PAIRED	112.0	0	112.0	r5.2xlarge	success	SRR5023408	801.328744730914	4624211968	280485888	0
91175db	salmon	PAIRED	123.0	0	123.0	r5.2xlarge	success	SRR2932901	795.255833034826	4736339968	753344512	0
43c458f	salmon	PAIRED	68.0	0	68.0	r5.2xlarge	success	SRR5185518	801.3721978	264839168	96628736	0
ba154da	kallisto	PAIRED	225.0	0	225.0	r5.2xlarge	success	SRR2932901	796.0148415	3911598080	290648064	0
282200f	kallisto	PAIRED	301.0	0	301.0	r5.2xlarge	success	SRR5023408	799.314526458073	3811135488	136007680	0
18ae06f	kallisto	PAIRED	404.0	0	404.0	r5.2xlarge	success	SRR2567462	100.2661855	3816198144	2625052672	0
84cb32a	star-stringtie	PAIRED	92.0	0.650865855	91.349134145	r5.4xlarge	success	SRR4428678	501.373568580363	33386549248	991232	0
4dabb5b	star-stringtie	PAIRED	382.0	2.669382248	379.330617752	r5.4xlarge	success	SRR2932901	314.92123359088	37214113792	1885257728	4096
89b9bdc	star-stringtie	PAIRED	501.0	5.103433121	495.896566879	r5.4xlarge	success	SRR2567462	427.346516608479	38028476416	12732375040	0
81f6c53	star-stringtie	PAIRED	583.0	4.540975762	578.459024238	r5.4xlarge	success	ERR204893	499.360268064919	39426506752	7876845568	5014876160
136b0b5	star-stringtie	SINGLE	85.0	0.854204093	84.145795907	r5.4xlarge	success	SRR4428678	99.6235935242839	7375429632	53248	4096
